Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC,training_time
ResNet101,svm,9,0.8546409807355516,0.8491414190984299,0.8510756115141863,0.9524254612023161,0.84874613128114,0.9710452967879352,1037.697813987732
ResNet101,svm,10,0.8493870402802102,0.8433080272070338,0.8425896645070331,0.9500729637156902,0.8426313341884953,0.9679266973863273,1037.697813987732
ResNet101,rf,1,0.8583916083916084,0.8581100061399217,0.858409022764697,0.9532097579693325,0.8563513159835451,0.9729191800512179,892.5758430957794
ResNet101,rf,2,0.8706293706293706,0.8665089681311056,0.8656848646344166,0.9571507839127887,0.8647956842280287,0.9757630886234955,892.5758430957794
ResNet101,rf,3,0.8791593695271454,0.8720634009886479,0.8730599602283953,0.9605662914923655,0.8709154219473426,0.9762984691034543,892.5758430957794
ResNet101,rf,4,0.9141856392294221,0.9098817182979361,0.9061509880777396,0.9714803056272336,0.9076514267644032,0.9844706795386053,892.5758430957794
ResNet101,rf,5,0.8739054290718039,0.8730409203155943,0.8702485851632701,0.9582426664292693,0.8704288398581886,0.9762755794277567,892.5758430957794
ResNet101,rf,6,0.8809106830122592,0.8753098553745106,0.8699131823726101,0.9605437964558545,0.8706729073614224,0.9714575032386412,892.5758430957794
ResNet101,rf,7,0.8774080560420315,0.8782810314179631,0.8784355856348776,0.9589568927328449,0.8761519458892344,0.9782308999908785,892.5758430957794
ResNet101,rf,8,0.87215411558669,0.864594772928733,0.8662525161405759,0.9580436721509482,0.8642047422329306,0.9770955557719544,892.5758430957794
ResNet101,rf,9,0.8563922942206655,0.850547878215252,0.852606602482886,0.9528095681139973,0.8502697783738912,0.9741835345979584,892.5758430957794
ResNet101,rf,10,0.8704028021015762,0.865706489751723,0.8616133283635066,0.9569048548987767,0.862611716222403,0.978564444679507,892.5758430957794
DenseNet121,softmax,1,0.8828671328671329,0.8901261550379018,0.8798290030155482,0.9612240736985441,0.8822219106912478,0.9793829047165188,4425.143185138702
DenseNet121,softmax,2,0.833916083916084,0.8572385152938481,0.8287522486561415,0.944998851158962,0.8256227077858647,0.9748685804638392,4425.143185138702
DenseNet121,softmax,3,0.8809106830122592,0.8880826453388373,0.8762188555623569,0.9617861750511436,0.8743541642348593,0.984737802518639,4425.143185138702
DenseNet121,softmax,4,0.8038528896672504,0.8560919247427657,0.8158231630365387,0.9360739688353006,0.8072619339424624,0.9773589845000981,4425.143185138702
DenseNet121,softmax,5,0.8809106830122592,0.900008362032758,0.8799227539119727,0.9606958633688036,0.8819434385218818,0.9800878695320092,4425.143185138702
DenseNet121,softmax,6,0.8984238178633975,0.9023396460614186,0.8942072253471778,0.966536553108359,0.8954657902800098,0.9826390055742658,4425.143185138702
DenseNet121,softmax,7,0.9001751313485113,0.9050024640889207,0.903480089981894,0.9662734863387412,0.9038162916184366,0.9855293495158423,4425.143185138702
DenseNet121,softmax,8,0.8774080560420315,0.8862902000650714,0.8697354635414337,0.9595890196093133,0.8725916926778996,0.9787079145503651,4425.143185138702
DenseNet121,softmax,9,0.8633975481611208,0.8937093739712701,0.8643552931307066,0.9567037262012124,0.8603342652179421,0.9852217755766111,4425.143185138702
